,Name,Province,Service,Address,Location
3815,Kargoist Ordu,Ordu,Git Kargo,"Durugöl, 1109. Sk. No:7, 52200 Ordu Merkez/Ordu, Türkiye","40.976203, 37.9304823"
3816,Git Kargo - Yeni Nesil Kargo,Ordu,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3817,Ptt Kargo Ordu Şubesi,Ordu,Git Kargo,"Düz, Santral Sk. No: 32, 52100 Altınordu/Ordu, Türkiye","40.986526399999995, 37.875965099999995"
3818,Yurtiçi Kargo Ordu,Ordu,Git Kargo,"Yeni Mahalle Atatürk Bulvarı, Alt Geçit Yanı No: 52 Merkez, Yeni, 34398 Altınordu/Ordu, Türkiye","40.980761199999996, 37.8911247"
3819,Yurtiçi Kargo Durugöl,Ordu,Git Kargo,"Durugöl, 1110. Sk. No: 1-3 A-A, 52200 Altınordu/Ordu, Türkiye","40.976693999999995, 37.929646"
3820,PTT Altınordu,Ordu,Git Kargo,"Bahçelievler, 296. Sk. No:1, 52200 Altınordu/Ordu, Türkiye","40.979352999999996, 37.898955"
3821,Ups Kargo,Ordu,Git Kargo,"Şirinevler, 666. Sk. 31/A, 52200 Altınordu/Ordu, Türkiye","40.975553999999995, 37.896992999999995"
3822,Sürat Kargo Çotanak Şube,Ordu,Git Kargo,"Karşıyaka, Atatürk Blv. No:484/A, 52200 Altınordu/Ordu, Türkiye","40.9759254, 37.9146728"
3823,Mng Kargo - Boztepe Şubesi,Ordu,Git Kargo,"Yeni, 303. Sk. No:13A, 52200 Altınordu/Ordu, Türkiye","40.9826097, 37.8856487"
3824,MNG Kargo - Durugöl Şubesi,Ordu,Git Kargo,"Cumhuriyet, 1249. Sk. No:7A, 52200 Altınordu/Ordu, Türkiye","40.9793108, 37.9422938"
3825,Yurtiçi Kargo Boztepe,Ordu,Git Kargo,"Şarkiye Mahallesi,, Atatürk Blv. No:146, 34398 Merkez/Altınordu/Ordu, Türkiye","40.9839549, 37.8844679"
3826,Yurtiçi Kargo şubesi,Ordu,Git Kargo,"Akyazı, 887. Sk. 17/1, 52200 Altınordu/Ordu, Türkiye","40.9769544, 37.9150965"
3827,Aras Kargo Boztepe Şubesi,Ordu,Git Kargo,"Yeni, 305. Sk. No:2/A, 52200 Altınordu/Ordu, Türkiye","40.9829905, 37.885577"
3828,Ptt-ordu Şubesi,Ordu,Git Kargo,"Düz, Hükümet Cd. No:6, 52100 Altınordu/Ordu, Türkiye","40.9848631, 37.8772745"
3829,Aras Kargo,Ordu,Git Kargo,"Cumhuriyet, Mustafa Kemal Blv. No:229/C, 52200 Altınordu/Ordu, Türkiye","40.977475, 37.964163600000006"
3830,MNG Kargo - Korkut Ata Şubesi,Osmaniye,Git Kargo,"Adnan Menderes, 19524. Sk. No:9C, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.0627661, 36.232526299999996"
3831,Yurtiçi Kargo İstiklal,Osmaniye,Git Kargo,"Mimar Sinan, Atatürk Cd. No: 519, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.0587504, 36.2358812"
3832,Sürat Kargo Osmaniye Şube,Osmaniye,Git Kargo,"Alibeyli, Dr. Devlet Bahçeli Blv. No:3/B, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.0725394, 36.2433014"
3833,Yurtiçi Kargo Fıstıkçılar,Osmaniye,Git Kargo,"Alibeyli, Musa Şahin Blv. No: 194/A, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.072725600000005, 36.2431537"
3834,Aras Kargo Osmaniye Cep Şubesi,Osmaniye,Git Kargo,"Esenevler, Musa Şahin Blv. No:341, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.0733649, 36.243497999999995"
3835,Aras Kargo Osmaniye Şubesi,Osmaniye,Git Kargo,"Esenevler Mah, Musa Şahin Blv. No: 171/12, 80010 Osmaniye Merkez/Osmaniye, Türkiye","37.0644026, 36.2258926"
3836,Git Kargo - Yeni Nesil Kargo,Rize,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3837,Git Kargo - Yeni Nesil Kargo,Sakarya,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3838,Git Kargo - Yeni Nesil Kargo,Samsun,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3839,Siirt AGT Kurye,Siirt,Git Kargo,"Bahçelievler, Kurtalan Yolu Cd. NO:30/B, 56100 Siirt Merkez/Siirt, Türkiye","37.9288087, 41.940684"
3840,Yurtiçi Kargo Siirt,Siirt,Git Kargo,"Barış, 1327. Sk. No: 18/11-12, 56100 Siirt Merkez/Siirt, Türkiye","37.9345784, 41.928293499999995"
3841,Sürat Kargo Siirt Şube,Siirt,Git Kargo,"Yeni, Cengiz Topel Cd. No:41/B, 56100 Siirt Merkez/Siirt, Türkiye","37.9346318, 41.9450588"
3842,MNG Kargo,Siirt,Git Kargo,"Yeni, Medine Cd. No:17, 56100 Siirt Merkez/Siirt, Türkiye","37.9338288, 41.9422182"
3843,Ptt-yıldırım Şubesi,Siirt,Git Kargo,"Yeni, 56000 Siirt Merkez/Siirt, Türkiye","37.9338195, 41.942115799999996"
3844,KARGOMSENDE,Siirt,Git Kargo,"Yeni, Hastane Cd. No:16, 56000 Siirt Merkez/Siirt, Türkiye","37.934908, 41.941668799999995"
3845,Domestic Shipping Sinop,Sinop,Git Kargo,"Camikebir, Tuzcular Cd. No: 33, 34398 Sinop Merkez/Sinop, Türkiye","42.025, 35.1473"
3846,Yurtiçi Kargo Kongre,Sivas,Git Kargo,"Paşabey Mh., Paşabey, Hayrat Sk. No:7/B Merkez, 34398 Sivas Merkez/Sivas, Türkiye","39.747642, 37.0218917"
3847,Yurtiçi Kargo Kepçeli,Sivas,Git Kargo,"Demircilerardı, 27-Kayırcık Sk. No: 24/A, 58040 Merkez/Sivas, Türkiye","39.749003699999996, 37.024339399999995"
3848,BİZİM KARGO LOJİSTİK,Sivas,Git Kargo,"gultepe mahallesi 4 eylul sanayi sitesi 25. sanayi sokak 12/e, Gültepe, 58000 merkez/Sivas, Türkiye","39.7230761, 37.002721099999995"
3849,Yurtiçi Kargo Kızılırmak,Sivas,Git Kargo,"Ece, Halil Rıfat Paşa Cd. No: 50/A, 58010 Merkez/Sivas, Türkiye","39.745145699999995, 37.005940900000006"
3850,Aras Kargo Sivas Transfer Merkezi,Sivas,Git Kargo,"Gültepe Mahallesi ,18 Sivas TR, Gültepe, Sanayi Sk. No:1, 58010 Sivas Merkez/Sivas, Türkiye","39.7274605, 37.007289"
3851,Mng Kargo - Kızılırmak Şubesi,Sivas,Git Kargo,"Demircilerardı, 27-Kayırcık Sk. No:20, 58040 Sivas Merkez/Sivas, Türkiye","39.748726999999995, 37.024381"
3852,Git Kargo - Yeni Nesil Kargo,Sivas,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3853,Ups Kargo-sivas Şubesi,Sivas,Git Kargo,"TOPTANCILAR SİT 16 SK N:64, Merkez, 58060 Sivas Merkez/Sivas, Türkiye","39.732155999999996, 37.005041999999996"
3854,Mng Kargo - Gökmedrese Şubesi,Sivas,Git Kargo,"Cami-i Kebir, Hoca Ahmet Yesevi Cd. No:14A, 58040 Merkez/Sivas, Türkiye","39.747181, 37.014323"
3855,Yurtiçi Kargo Sultanşehir,Sivas,Git Kargo,"Kardeşler, 51-59. sok No: 2/C, 58050 Merkez/Sivas, Türkiye","39.73692450000001, 37.0348122"
3856,Mng Kargo - Sivas Merkez Şubesi,Sivas,Git Kargo,"Ahmetturangazi OSB Mh, OSB, Kılavuz OSB 6. Cd. No:51, 58060 Ahmetturangazi OSB/Merkez/Sivas, Türkiye","39.7988201, 37.0987308"
3857,Aras Kargo Aşık Veysel Şubesi,Sivas,Git Kargo,"Paşabey Mah. Mahkeme Çarşısı Cad. No: 27/A Merkez, Paşabey, 58070 Sivas Merkez/Sivas, Türkiye","39.746911999999995, 37.0183661"
3858,PTT - Sivas Branch,Sivas,Git Kargo,"Sularbaşı, Atatürk Blv. No:5, 58040 Merkez/Sivas Merkez/Sivas, Türkiye","39.7505145, 37.0166201"
3859,Ptt Kargo Şanlıurfa Şubesi,Şanlıurfa,Git Kargo,"Çankaya, 63000 Karaköprü Bld/Şanlıurfa Merkez/Şanlıurfa, Türkiye","37.2276951, 38.7959101"
3860,Yurtiçi Kargo Edesa,Şanlıurfa,Git Kargo,"Yenişehir, 236. Sk., 63300 Haliliye/Şanlıurfa, Türkiye","37.1711169, 38.8047116"
3861,Yurtiçi Kargo Gap,Şanlıurfa,Git Kargo,"Kamberiye, Harran Ünv. Cd. No: 5, 63040 Haliliye/Şanlıurfa, Türkiye","37.1586803, 38.795983299999996"
3862,Yurtiçi Kargo Şanlıurfa,Şanlıurfa,Git Kargo,"İpekyol, Yasemin Ap, 2329. Sk. No: 8/A, 63050 Haliliye/Şanlıurfa, Türkiye","37.1675469, 38.792367999999996"
3863,Yurtiçi Kargo Kadıkendi İrtibat,Şanlıurfa,Git Kargo,"Batıkent, Evren 4. Sk. No: 26/D, 63200 Eyyübiye/Şanlıurfa, Türkiye","37.1440112, 38.738726899999996"
3864,MNG Kargo,Şanlıurfa,Git Kargo,"Yeşildirek, 445. Sk. No:4, 63300 Haliliye/Şanlıurfa, Türkiye","37.1655174, 38.815703899999995"
3865,Yurtiçi Kargo Karaköprü,Şanlıurfa,Git Kargo,"Çankaya, 2005. Sk. NO:5/A, 63320 Karaköprü/Şanlıurfa, Türkiye","37.2094216, 38.7978643"
3866,Ptt-balıklıgöl Şubesi,Şanlıurfa,Git Kargo,"Bıçakçı, 63200 Şanlıurfa Merkez/Şanlıurfa, Türkiye","37.147996, 38.787532"
3867,Mng Kargo - Gap Şubesi,Şanlıurfa,Git Kargo,"Batıkent, Evren 32. Sk No:12, 63200 Eyyübiye/Şanlıurfa, Türkiye","37.147145099999996, 38.7313003"
3868,Mng Kargo - Balıklıgöl Şubesi,Şanlıurfa,Git Kargo,"Hakimdede, Kule Cd. No:46A, 63210 Eyyübiye/Şanlıurfa, Türkiye","37.1553943, 38.793967099999996"
3869,Kargokar,Şanlıurfa,Git Kargo,"İpekyolu mahallesi, 2351. Sk. No: 8 D:1, 63040 Şanlıurfa Merkez/Şanlıurfa, Türkiye","37.16842700000001, 38.7906072"
3870,Aras Kargo Balıklıgöl Şubesi,Şanlıurfa,Git Kargo,"Kamberiye, Harran Ünv. Cd. No:7/D, 63040 Haliliye/Şanlıurfa, Türkiye","37.1557313, 38.7971006"
3871,Aras Kargo Gap Şubesi,Şanlıurfa,Git Kargo,"Hamidiye, 263. Sk. No: 11A D:2, 63300 Haliliye/Şanlıurfa, Türkiye","37.172619499999996, 38.8037221"
3872,Git Kargo - Yeni Nesil Kargo,Şanlıurfa,Git Kargo,"Barbaros, Begonya Sk. No:1/2, 34746 Ataşehir/İstanbul, Türkiye","40.9992976, 29.0965994"
3873,Şanlıurfa Geri Gönderme Merkezi,Şanlıurfa,Git Kargo,"Küçükhan, 63000 Eyyübiye/Şanlıurfa, Türkiye","37.102131899999996, 38.8412928"
3874,Aras Kargo Elruha Şubesi,Şanlıurfa,Git Kargo,"Atatürk Mah, Vali Fuat Cd. No:11/1, 63210 Haliliye/Şanlıurfa, Türkiye","37.155695, 38.7878725"
3875,Şanlıurfa İl Göç İdaresi,Şanlıurfa,Git Kargo,"Karsıyaka, 583. Sk. No:3, 63050 Şanlıurfa Merkez/Şanlıurfa, Türkiye","37.1628856, 38.8269382"
3876,Yurtiçi Kargo Viranşehir,Şanlıurfa,Git Kargo,"Kışla, Emiroğlu Cad. Kışla Mah. Cami No: 45 Z01, 63700 Viranşehir/Şanlıurfa, Türkiye","37.2293484, 39.7592419"
3877,Yurtiçi Kargo Birecik,Şanlıurfa,Git Kargo,"Meydan, Sadettin Karaata cad No: 28/A, 63400 Birecik/Şanlıurfa, Türkiye","37.0185065, 37.977114799999995"
3878,Mng Kargo - Viranşehir Şubesi,Şanlıurfa,Git Kargo,"Kale, 84. Sk. No:26 A/B, 63700 Viranşehir/Şanlıurfa, Türkiye","37.2295704, 39.7649599"
3879,Şırnak AGT Kurye,Şırnak,Git Kargo,"Cumhuriyet, 73000 Şırnak Merkez/Şırnak, Türkiye","37.5240181, 42.4586769"
3880,Yurtiçi Kargo Şırnak,Şırnak,Git Kargo,"Gazi Paşa mah, Şehit Üstteğmen Mehmet, Esin Cd. No: 23/B, 73100 Şırnak Merkez/Şırnak, Türkiye","37.518172199999995, 42.4603359"
