,Name,Province,Service,Address,Location
1507,Mng Kargo,Afyonkarahisar,MNG Kargo,"OSB Mh, 11. Cd. 1. Sk No:2C, 03030 Afyonkarahisar Osb/Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.798044, 30.5559332"
1508,Mng Kargo - Kocatepe Şubesi,Afyonkarahisar,MNG Kargo,"Gazlıgöl Cad. Kılıç Ali Sok. Biçici Apt. No:113/C, Kasımpaşa, 03200 MERKEZ/Afyonkarahisar Merkez/Afyon, Türkiye","38.7635571, 30.5413076"
1509,Mng Kargo - Kadınana Şubesi,Afyonkarahisar,MNG Kargo,"Cumhuriyet Mah Musa Amcaoğlu, Cumhuriyet, Ali Efendi Yolu Sk NO:3B, 03217 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.7535552, 30.5461405"
1510,Mng Kargo - Sahipata Şubesi,Afyonkarahisar,MNG Kargo,"Sahipata, Mareşal Fevzi Çakmak Blv. No:128A, 03040 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.764573399999996, 30.577215"
1511,Mng Kargo - Kanlıca Şubesi,Afyonkarahisar,MNG Kargo,"Şeyhli Mh, Şair Ali Türk Keskin Sk. No:10, 03040 Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.730824999999996, 30.560596999999994"
1512,Mng Kargo - Afyon Transfer Merkezi,Afyonkarahisar,MNG Kargo,"OSB Mh, 11. Cd. 1. Sk No:2/1A, 03030 Afyonkarahisar Osb/Afyonkarahisar Merkez/Afyonkarahisar, Türkiye","38.797749499999995, 30.555183699999997"
1513,Mng Kargo - Ağrı Şubesi,Ağrı,MNG Kargo,"Hürriyet, Vali Konağı Cd. No:10A, 04100 Ağrı Merkez/Ağrı, Türkiye","39.7218577, 43.056483799999995"
1514,Mng Kargo - Ihlara Şubesi,Aksaray,MNG Kargo,"Coğlaki, Kurtuluş Cd. No:65A, 68100 Aksaray Merkez/Aksaray, Türkiye","38.3712717, 34.039784399999995"
1515,Mng Kargo - Aksaray Merkez Şubesi,Aksaray,MNG Kargo,"Bahçesaray, Necmettin Erbakan Blv No:170, 68220 Aksaray Merkez/Aksaray, Türkiye","38.31518, 33.978268199999995"
1516,Mng Kargo - Hasandağı Şubesi,Aksaray,MNG Kargo,"Selçuklu Mh, Alparslan Türkeş Blv. No:30B, 68100 Aksaray Merkez/Aksaray, Türkiye","38.3590832, 34.0092388"
1517,Mng Kargo - Yenikapı Şubesi,Aksaray,MNG Kargo,"Aksaray, Asım Bey Sk. No:18A, 34096 Fatih/İstanbul, Türkiye","41.007994, 28.948825299999996"
1518,Mng Kargo - Aksaray Transfer Merkezi,Aksaray,MNG Kargo,"Bahçesaray, Necmettin Erbakan Blv No:170/1, 68100 Aksaray Merkez/Aksaray, Türkiye","38.3151881, 33.978288899999995"
1519,Mng Kargo - Amasya Şubesi,Amasya,MNG Kargo,"Akbilek, Alptekin Cd. No:15-17, 05100 Amasya Merkez/Amasya, Türkiye","40.6530664, 35.8075331"
1520,MNG Kargo,Ankara,MNG Kargo,"Keklik Pınarı, Dikmen Cd No:465A, 06450 Çankaya/Ankara, Türkiye","39.861551, 32.817355899999995"
1521,Mng Kargo - Gökkuşağı Minihub Şubesi,Ankara,MNG Kargo,"Gökkuşağı, 1164. Cd. No:5A, 06450 Çankaya/Ankara, Türkiye","39.874051, 32.8168"
1522,Mng Kargo - Yıldız Şubesi,Ankara,MNG Kargo,"Hilal, Alexsander Dubçek Cd. No:30A, 06550 Çankaya/Ankara, Türkiye","39.867134, 32.852602000000005"
1523,Mng Kargo - Gölbaşı Şubesi,Ankara,MNG Kargo,"Gaziosmanpaşa, Şht. Ali Gaffar Okan Cd. No:29A, 06830 Gölbaşı/Ankara, Türkiye","39.7993222, 32.802653899999996"
1524,Mng Kargo - Çukurambar Şubesi,Ankara,MNG Kargo,"İşçi Blokları, 1525. Sk. No:13A, 06530 Çankaya/Ankara, Türkiye","39.896203, 32.799794"
1525,Mng Kargo - Cevizlidere Şubesi,Ankara,MNG Kargo,"Cevizlidere, Cevizlidere Cd. No:25C, 06520 Çankaya/Ankara, Türkiye","39.8894923, 32.8188229"
1526,Mng Kargo - Emek Şubesi,Ankara,MNG Kargo,"Emek, Bosna Hersek Cd. No:23B, 06490 Çankaya/Ankara, Türkiye","39.9164847, 32.819595299999996"
1527,MNG Kargo,Ankara,MNG Kargo,"Güvenevler, Hoşdere Cd. No:51A, 06690 Çankaya/Ankara, Türkiye","39.898002999999996, 32.849272"
1528,Mng Kargo - Balgat Şubesi,Ankara,MNG Kargo,"Balgat, Süleyman Hacıabdullahoğlu Cd. No:18A, 06520 Çankaya/Ankara, Türkiye","39.9073694, 32.8205324"
1529,Mng Kargo - Öveçler Şubesi,Ankara,MNG Kargo,"Aşağı Öveçler, 1334. Sk. No:5A, 06460 Çankaya/Ankara, Türkiye","39.89136, 32.825673"
1530,Mng Kargo - Esat Şubesi,Ankara,MNG Kargo,"Küçükesat, Esat Cd. No:99D, 06660 Çankaya/Ankara, Türkiye","39.9085489, 32.864801"
1531,MNG Kargo,Ankara,MNG Kargo,"Aziziye, Cinnah Cd. No:46B, 06690 Çankaya/Ankara, Türkiye","39.8940901, 32.8566664"
1532,MNG Kargo,Ankara,MNG Kargo,"Kızılay, Fevzi Çakmak-2 Sk. No:32B, 06420 Çankaya/Ankara, Türkiye","39.9224945, 32.8490804"
1533,Mng Kargo - Söğütözü Şubesi,Ankara,MNG Kargo,"Mustafa Kemal, 2127. Cd No:38A, 06530 Çankaya/Ankara, Türkiye","39.9153714, 32.76740230000001"
1534,MNG Kargo - İncek Şubesi,Ankara,MNG Kargo,"Kızılcaşar, Zafer Cd. No:2B, 06830 Gölbaşı/Ankara, Türkiye","39.82403, 32.7192304"
1535,Mng Kargo - Gaziosmanpaşa Şubesi,Ankara,MNG Kargo,"Bademlidere, 257. Sk. No:2B, 06680 Çankaya/Ankara, Türkiye","39.9007614, 32.8843124"
1536,Mng Kargo - Kolej Şubesi,Ankara,MNG Kargo,"Sağlık, Ataç-1 Sk. No:3A, 06420 Çankaya/Ankara, Türkiye","39.925526, 32.857911"
1537,Mng Kargo,Ankara,MNG Kargo,"Eti, Toros Sk. No:23A, 06570 Çankaya/Ankara, Türkiye","39.9288232, 32.8509947"
1538,Mng Kargo - Cebeci Şubesi,Ankara,MNG Kargo,"Cebeci, Evren Sk. No:25A, 06590 Çankaya/Ankara, Türkiye","39.9332874, 32.8778721"
1539,Mng Kargo - Selanik Şubesi,Ankara,MNG Kargo,"Meşrutiyet, Selanik Cd No:82, 06420 Çankaya/Ankara, Türkiye","39.9160639, 32.858212099999996"
1540,Mng Kargo - Dokuma Şubesi,Antalya,MNG Kargo,"Fabrikalar, Fikri Erten Cd. No:55A, 07090 Kepez/Antalya, Türkiye","36.9079445, 30.674411"
1541,Mng Kargo - Şarampol Şubesi,Antalya,MNG Kargo,"Elmalı, 6. Sk. No:6C, 07040 Muratpaşa/Antalya, Türkiye","36.8898194, 30.701875499999996"
1542,Mng Kargo - Antalya Minihub Şubesi,Antalya,MNG Kargo,"Altınkale, Akdeniz Blv. No:181, 07112 Döşemealtı/Antalya, Türkiye","36.996093099999996, 30.628636399999994"
1543,Mng Kargo - Meltem Şubesi,Antalya,MNG Kargo,"Yıldız, Hamidiye Cd. No:45E, 07050 Muratpaşa/Antalya, Türkiye","36.894579, 30.682019"
1544,Mng Kargo - Yeşilırmak Şubesi,Antalya,MNG Kargo,"Sütçüler Mah Şehit Ast.Ömer Halisdemir Cad. Dış Kapı No:14/A-9, Sütçüler, 07060 Kepez/Antalya, Türkiye","36.9315231, 30.719709599999998"
1545,Mng Kargo - Turunç Şubesi,Antalya,MNG Kargo,"Çaybaşı, Burhanettin Onat Cd. No:18A, 07100 Muratpaşa/Antalya, Türkiye","36.8872341, 30.7196723"
1546,Mng Kargo - Aspendos Şubesi,Antalya,MNG Kargo,"Kızıltoprak, Ali Çetinkaya Cd. No:145A, 07300 Muratpaşa/Antalya, Türkiye","36.888073999999996, 30.7239422"
1547,MNG Kargo Uncalı Şubesi,Antalya,MNG Kargo,"35. Cad.(Üniversite Cad.) No:4BA, Uncalı, 07070 KONYAALTI/Konyaaltı/Antalya, Türkiye","36.888327, 30.627547999999997"
1548,Mng Kargo - Düden Şubesi,Antalya,MNG Kargo,"Cumhuriyet, 629. Sk. No:3B, 07010 Muratpaşa/Antalya, Türkiye","36.9006571, 30.7003502"
1549,Mng Kargo - Lara Şubesi,Antalya,MNG Kargo,"Fener, 1968. Sk. No:23, 07160 Muratpaşa/Antalya, Türkiye","36.8531325, 30.761104000000003"
1550,Mng Kargo - Akdeniz Sanayi Şubesi,Antalya,MNG Kargo,"Şafak 5014 Sok. No:19AB, Şafak, 07220 Kepez/Antalya, Türkiye","36.9167074, 30.6353636"
1551,Mng Kargo - Güzeloba Şubesi,Antalya,MNG Kargo,"Güzeloba, Barınaklar Blv. No:155A, 07230 Muratpaşa/Antalya, Türkiye","36.8576951, 30.787939099999996"
1552,Mng Kargo - Hurma Şubesi,Antalya,MNG Kargo,"Hurma, 287. Sk. No:3B, 07130 Konyaaltı/Antalya, Türkiye","36.8512294, 30.5979392"
1553,Mng Kargo - Varsak Şubesi,Antalya,MNG Kargo,"Aktoprak Mh, Şht. Bülent Alkan Cd. No:33A, 07020 Kepez/Antalya, Türkiye","36.988911099999996, 30.709229899999997"
1554,MNG KARGO,Antalya,MNG Kargo,"Şirinyalı, İsmet Gökşen Cd. No:104A, 07160 Muratpaşa/Antalya, Türkiye","36.858224, 30.742186999999998"
1555,Mng Kargo - Perge Şubesi,Antalya,MNG Kargo,"Tarım, Perge Blv. No:43B, 07200 Muratpaşa/Antalya, Türkiye","36.8813293, 30.7400445"
1556,Mng Kargo - Antalya Bölge Müdürlüğü,Antalya,MNG Kargo,"Altınkale, Akdeniz Blv. No:181, 07040 Döşemealtı/Antalya, Türkiye","36.995592699999996, 30.6284802"
1557,Mng Kargo - Kültür Şubesi,Antalya,MNG Kargo,"Yeni Doğan, Şehit Uzman Çavuş Ali Yılmaz Cd No:25A, 07090 Kepez/Antalya, Türkiye","36.9120008, 30.660222800000003"
1558,Mng Kargo - Belek Şubesi,Antalya,MNG Kargo,"Belek, 39. Sk. No:1H, 07500 Serik/Antalya, Türkiye","36.8637671, 31.054047"
1559,Mng Kargo - Yakamoz Şubesi,Antalya,MNG Kargo,"Yeni Emek, 2598. Sk. No:4A, 07060 Kepez/Antalya, Türkiye","36.91992020000001, 30.698650299999997"
1560,MNG Kargo - Ardahan Şubesi,Ardahan,MNG Kargo,"İnönü, Kongre Cd. No:99A, 75100 Ardahan Merkez/Ardahan, Türkiye","41.1079971, 42.693392800000005"
1561,MNG KARGO ARDAHAN ŞUBESİ,Ardahan,MNG Kargo,"Karagöl, İskan Sk. No:26, 75100 Ardahan Merkez/Ardahan, Türkiye","41.109763, 42.6963498"
1562,MNG Kargo,Ardahan,MNG Kargo,"Karagöl, Kazım Karabekir Cd. Yener Timur İş Hanı No:47 D:1/c, 75000 Ardahan Merkez/Ardahan, Türkiye","41.1066668, 42.703672999999995"
1563,Mng Kargo - Artvin Şubesi,Artvin,MNG Kargo,"Çayağzı, Zeytin Sk. No:46B, 08010 Artvin Merkez/Artvin, Türkiye","41.181114199999996, 41.8302615"
1564,Mng Kargo - Zeybek Şubesi,Aydın,MNG Kargo,"Kurtuluş, Süleyman Seba Cd. No:12B, 09020 Efeler/Aydın, Türkiye","37.8392629, 27.8441714"
1565,Mng Kargo - Yörük Ali Şubesi,Aydın,MNG Kargo,"Efeler, Dr. Serkan Kurnaz Cd No:16, 09020 Efeler/Aydın, Türkiye","37.8429018, 27.829728799999998"
1566,MNG KARGO EFELER ŞB,Aydın,MNG Kargo,"Ata, 694. Sk. No:4D, 09010 Efeler/Aydın, Türkiye","37.8451454, 27.865559899999997"
1567,Metro Kargo Aydın,Aydın,MNG Kargo,"Kurtuluş, Kıbrıs Cd. No:16, 09020 Aydın Merkez/Aydın, Türkiye","37.8426104, 27.841631999999997"
1568,Mng Kargo - İncirliova Şubesi,Aydın,MNG Kargo,"Cumhuriyet, 451. Sk. No:23, 09600 İncirliova/Aydın, Türkiye","37.8524171, 27.7302952"
1569,Mng Kargo - Çine Şubesi,Aydın,MNG Kargo,"Şevketiye, 250. Sk. No:13A, 09500 Çine/Aydın, Türkiye","37.6113947, 28.0611505"
1570,Mng Kargo - Bengi Şubesi,Balıkesir,MNG Kargo,"Akıncılar, Şht. Pamir Cd. No:20A, 10010 Karesi/Balıkesir, Türkiye","39.6500346, 27.885850899999998"
1571,Mng Kargo - Plevne Şubesi,Balıkesir,MNG Kargo,"Plevne, Savaştepe Cd. No:14A, 10050 Altıeylül/Balıkesir, Türkiye","39.6190859, 27.8922417"
1572,MNG Kargo,Balıkesir,MNG Kargo,"Paşa Alanı, 202. Sk. No:4 D:1B, 10020 Karesi/Balıkesir, Türkiye","39.6693521, 27.912634"
1573,Mng Kargo - Madra Şubesi,Balıkesir,MNG Kargo,"Altınova, Hükümet Cd. No:2C, 10280 Ayvalık/Balıkesir, Türkiye","39.2226593, 26.7797949"
1574,Mng Kargo - Balıkesir Transfer Merkezi,Balıkesir,MNG Kargo,"Gökköy, 4 Cad Gaziosmanpaşa Org. San. Böl No:20/1, 10100 Altıeylül/Balıkesir, Türkiye","39.5818144, 27.849531700000004"
1575,Mng Kargo Ayvalık,Balıkesir,MNG Kargo,"150 Evler, Ali Sansür Cd. No:1B, 10400 Ayvalık/Balıkesir, Türkiye","39.3300493, 26.700624899999998"
1576,Mng Kargo - Bartın Şubesi,Bartın,MNG Kargo,"Kemer Köprü, 875. Sk No:7B, 74100 Merkez/Bartın, Türkiye","41.6246325, 32.3275831"
1577,Mng Kargo - Elekhan Şubesi,Batman,MNG Kargo,"Şirinevler, 1402. Sk. No:2, 72070 Batman Merkez/Batman, Türkiye","37.882598099999996, 41.1283497"
1578,MNG Kargo,Bayburt,MNG Kargo,"Tuzcuzade, Akgöz Sk. No:1A, 69010 Bayburt Merkez/Bayburt, Türkiye","40.255715, 40.221848"
1579,Mng Kargo-bayburt Şubesi,Bayburt,MNG Kargo,"Şeyh Hayran, Hastane Cd., 69000 Bayburt Merkez/Bayburt, Türkiye","40.258981899999995, 40.224402999999995"
1580,MNG Kargo,Bilecik,MNG Kargo,"Hürriyet, Abdülhamit Han Blv No:36-38B, 11100 Bilecik Merkez/Bilecik, Türkiye","40.158727299999995, 29.978149600000002"
1581,MNG Kargo,Bingöl,MNG Kargo,"Bahçelievler Mah Hürriyet Cad. Emirhan Apt. No:34, Merkez, 12010 Bingöl Merkez/Bingöl, Türkiye","38.8855301, 40.4908023"
1582,Mng Kargo - Düzağaç,Bingöl,MNG Kargo,"Recep Tayyip Erdoğan, Kale Cd. No:23/A, 12000 Merkez/Bingöl, Türkiye","38.9041852, 40.4911333"
1583,MNG Kargo,Bitlis,MNG Kargo,"Atatürk, Selahattin Eyyübi Cd. No:2B, 13100 Bitlis Merkez/Bitlis, Türkiye","38.4069959, 42.11083310000001"
1584,Mng Kargo - Bolu Şubesi,Bolu,MNG Kargo,"Sümer, Ahmet Baysal Blv. No:7A, 14100 Bolu Merkez/Bolu, Türkiye","40.726754199999995, 31.586705099999996"
1585,Mng Kargo - Köroğlu Şubesi,Bolu,MNG Kargo,"Sağlık, Karadere Cd. No:15B, 14300 Bolu Merkez/Bolu, Türkiye","40.7408592, 31.6156858"
1586,Mng Kargo - Burdur Şubesi,Burdur,MNG Kargo,"Bağlar, İbrahim Zeki Burdurlu Cd. No:13B, 15100 Burdur Merkez/Burdur, Türkiye","37.724619499999996, 30.278583200000003"
1587,Mng Kargo - Bursa Kurumsal Şubesi,Bursa,MNG Kargo,"Küçükbalıklı, 2. Hatun Sk No:1, 16090 Osmangazi̇/Bursa, Türkiye","40.2205866, 29.0846944"
1588,Mng Kargo - Tuna Şubesi,Bursa,MNG Kargo,"Esentepe Mh. İyigün Sk. No:16BA, Esentepe, 16200 Ni̇lüfer/Bursa, Türkiye","40.2263011, 28.981437"
1589,Mng Kargo - Prof. Tezok Şubesi,Bursa,MNG Kargo,"Ortabağlar, Prof. Tezok Cd. No:43A, 16310 Yıldırım/Bursa, Türkiye","40.1893704, 29.1102055"
1590,Mng Kargo - Bursa Bölge Müdürlüğü,Bursa,MNG Kargo,"Küçükbalıklı, 2. Hatun Sk No:1, 16090 Osmangazi̇/Bursa, Türkiye","40.2203896, 29.083910399999997"
1591,Mng Kargo - Dikkaldırım Şubesi,Bursa,MNG Kargo,"Hüdavendigar, Dikkaldırım Cd. No:51B, 16060 Osmangazi̇/Bursa, Türkiye","40.203844, 29.012796299999994"
1592,Mng Kargo - Heykel Şubesi,Bursa,MNG Kargo,"Nalbantoğlu, Akbıyık Cd. No:12A, 16010 Osmangazi̇/Bursa, Türkiye","40.1820613, 29.0624227"
1593,Mng Kargo - Fomara Şubesi,Bursa,MNG Kargo,"Reyhan, Safranlık Çk. No:2A, 16030 Osmangazi̇/Bursa, Türkiye","40.1883522, 29.062318299999998"
1594,Mng Kargo - Kayapa Şubesi,Bursa,MNG Kargo,"30 Ağustos Zafer, 41. Sok No: 4/E, 16280 Ni̇lüfer/Bursa, Türkiye","40.187128799999996, 28.842225999999997"
1595,Mng Kargo - Beşevler Şubesi,Bursa,MNG Kargo,"Konak, Göl Sk. No:10A, 16265 Ni̇lüfer/Bursa, Türkiye","40.207215999999995, 28.98984"
1596,MNG Kargo,Bursa,MNG Kargo,"Atıcılar, İnönü Cad. No:116B, 16080 Osmangazi̇/Bursa, Türkiye","40.2015922, 29.078028099999997"
1597,Mng Kargo - Uludağ Şubesi,Bursa,MNG Kargo,"Yıldırım, Beyazıt Cd. No:23A, 16350 Yıldırım/Bursa, Türkiye","40.1860573, 29.080168200000003"
1598,Mng Kargo - Hamitler Şubesi,Bursa,MNG Kargo,"Hamitler, 1.Karıncalı Sk No:17A, 16175 Osmangazi̇/Bursa, Türkiye","40.2493372, 28.994955700000002"
1599,Mng Kargo - Botanik Şubesi,Bursa,MNG Kargo,"Soğanlı, 1.Şifa Sk No:21B, 16150 Osmangazi̇/Bursa, Türkiye","40.2147104, 29.045027399999995"
1600,Mng Kargo - Ertuğrul Şubesi,Bursa,MNG Kargo,"Altınşehir Mh. 324. Sk. No:11BC, Altınşehir, 16230 Ni̇lüfer/Bursa, Türkiye","40.2216875, 28.9181539"
1601,Mng Kargo - Bursa Minihub Şubesi,Bursa,MNG Kargo,"Küçükbalıklı, 2. Hatun Sk No:1, 16090 Osmangazi̇/Bursa, Türkiye","40.2203705, 29.084661699999998"
1602,Mng Kargo - Korupark Şubesi,Bursa,MNG Kargo,"Emek Zekai Gümüşdiş, Fevzi Çakmak Cd. No:33A, 16180 Osmangazi̇/Bursa, Türkiye","40.253034899999996, 28.956247"
1603,Mng Kargo - Karlıdağ Şubesi,Bursa,MNG Kargo,"Millet, Kısmet Cd. No:72C, 16370 Yıldırım/Bursa, Türkiye","40.2063543, 29.090126999999995"
1604,Mng Kargo - Modern Minihub Şubesi,Bursa,MNG Kargo,"23 Nisan, Bülent Ecevit Cd No:30C, 16230 Ni̇lüfer/Bursa, Türkiye","40.220904, 28.937493099999998"
1605,MNG Kargo,Bursa,MNG Kargo,"Oto Sanayi Sitesi 101. Sok. Büyük Oto Ticaret Merkezi 1. Çarşı No:1, Yiğitler, 16300 YILDIRIM/Yıldırım/Bursa, Türkiye","40.194682, 29.159936000000002"
1606,Mng Kargo - İpek Böceği Şubesi,Bursa,MNG Kargo,"Bağlarbaşı, 3. Barış Sk. No:8, 16170 Osmangazi̇/Bursa, Türkiye","40.235589100000006, 28.979859800000003"
1607,Mng Kargo - Truva Şubesi,Çanakkale,MNG Kargo,"İsmetpaşa, Demircioğlu Cd. No:70C, 17010 Çanakkale Merkez/Çanakkale, Türkiye","40.146485899999995, 26.409148899999998"
1608,Mng Kargo - Boğazkent Şubesi,Çanakkale,MNG Kargo,"Boğazkent Mh, Mustafa Kemal, Atatürk Cd. No:73A, 17110 Kepez/Çanakkale Merkez/Çanakkale, Türkiye","40.1048026, 26.400960299999998"
1609,Mng Kargo Merkez Şube,Çanakkale,MNG Kargo,"İsmetpaşa, Metin Oktay Cd. No:9, 17000 Çanakkale Merkez/Çanakkale, Türkiye","40.1439783, 26.427521799999997"
1610,Mng Kargo - Barbaros Şubesi,Çanakkale,MNG Kargo,"Barbaros, Hacı Faik Cd. No:12, 17020 Çanakkale Merkez/Çanakkale, Türkiye","40.1353162, 26.4136012"
1611,Mng Kargo - 18 Mart Şubesi,Çanakkale,MNG Kargo,"Esenler, İhsan Berkin Sk. No:1, 17010 Çanakkale Merkez/Çanakkale, Türkiye","40.162925699999995, 26.413806599999997"
1612,MNG Kargo,Çankırı,MNG Kargo,"Buğday Pazarı, Şht. Mehmet Yıldırım Cd. No:9A, 18100 Çankırı Merkez/Çankırı, Türkiye","40.596841999999995, 33.623160999999996"
1613,Mng Kargo - Çepni Şubesi,Çorum,MNG Kargo,"Çepni, Kerebi Gazi 1. Sk. No:20, 19040 Çorum Merkez/Çorum, Türkiye","40.545587, 34.949538"
1614,Mng Kargo - Hitit Şubesi,Çorum,MNG Kargo,"Gülabibey, Bağcılar 6. Cd. No:20, 19100 Çorum Merkez/Çorum, Türkiye","40.5231493, 34.9601611"
1615,Mng Kargo - Hattuşaş Şubesi,Çorum,MNG Kargo,"Ulukavak, Dr. Sadık Ahmet Cd. No:39A, 19040 Çorum Merkez/Çorum, Türkiye","40.5700868, 34.95266"
1616,MNG Kargo Çamlık Şubesi,Denizli,MNG Kargo,"Siteler, Bursa Cd. No:10A, 20160 Pamukkale/Denizli, Türkiye","37.754353, 29.093942"
1617,Mng Kargo - Saltak Şubesi,Denizli,MNG Kargo,"Sırakapılar, 1538 Sk No:29A, 20010 Merkezefendi/Denizli, Türkiye","37.7762873, 29.080329000000003"
1618,Mng Kargo - Denizli Minihub Şubesi,Denizli,MNG Kargo,"Bozburun, 7001. Sk. No:2, 20020 Merkezefendi/Denizli, Türkiye","37.819019999999995, 29.0611358"
1619,Mng Denizli kaleiçi,Denizli,MNG Kargo,"Saraylar, 2. Ticari Yol No:86, 20010 Merkezefendi/Denizli, Türkiye","37.785887200000005, 29.088062800000003"
1620,MNG Kargo,Denizli,MNG Kargo,"Hacıkaplanlar, Barış Cd. No:50B, 20150 Pamukkale/Denizli, Türkiye","37.77428, 29.092858999999997"
1621,Mng Kargo - Bakırlı Şubesi,Denizli,MNG Kargo,"İlbade, İzmir Blv. No:211, 20010 Merkezefendi/Denizli, Türkiye","37.7987046, 29.077613200000002"
1622,MNG Kargo,Denizli,MNG Kargo,"Akçeşme, Menderes Blv. No:129C, 20020 Merkezefendi/Denizli, Türkiye","37.810286999999995, 29.065562"
1623,Mng Kargo - Sevindik Şubesi,Denizli,MNG Kargo,"Sümer, 25. Sk. No:91, 20020 Merkezefendi/Denizli, Türkiye","37.798317, 29.094244999999994"
1624,Mng Kargo - Denizli Transfer Merkezi,Denizli,MNG Kargo,"Bozburun, Bozburun Cd. No:3A, 20020 Merkezefendi/Denizli, Türkiye","37.818847, 29.061093000000003"
1625,Mng Kargo - Gürlek Şubesi,Denizli,MNG Kargo,"Denizli OSB Mh, Ali Rıza Öztürk Cd. No:4, 20330 Honaz/Denizli, Türkiye","37.805345599999995, 29.244100399999994"
1626,Mng Kargo - Kayapınar Şubesi,Diyarbakır,MNG Kargo,"Diclekent, 265. Sk. No:1A, 21070 Kayapınar/Diyarbakır, Türkiye","37.9498254, 40.166396399999996"
1627,Mng Kargo - Çölgüzeli Şubesi,Diyarbakır,MNG Kargo,"Bağcılar Mh. Heskif Cd. No:1AA, Bağcılar, 21050 Bağlar/Diyarbakır, Türkiye","37.915143500000006, 40.1381544"
1628,Mng Kargo - Parkorman Şubesi,Diyarbakır,MNG Kargo,"Peyas, Diclekent Blv. No:29A, 21070 Kayapınar/Diyarbakır, Türkiye","37.9399388, 40.1883208"
1629,MNG Kargo - Karacadağ Şubesi,Diyarbakır,MNG Kargo,"Fırat Mh. 596. Sk. No:1FA, Fırat, 21070 Kayapınar/Diyarbakır, Türkiye","37.9369807, 40.136406"
1630,MNG Kargo,Diyarbakır,MNG Kargo,"Özdemir Mh, Yeni Mardin Yolu Cd. No:86, 21050 Bağlar/Diyarbakır, Türkiye","37.8701868, 40.2199585"
1631,MNG Kargo,Diyarbakır,MNG Kargo,"Yenişehir, Ali Emiri Cd. No:40F, 21100 Yenişehir/Diyarbakır, Türkiye","37.914684, 40.228533999999996"
1632,Mng Kargo - Ofis Şubesi,Diyarbakır,MNG Kargo,"Kooperatifler, Akkoyunlu 4. Sk. No:7A, 21100 Yenişehir/Diyarbakır, Türkiye","37.921472, 40.219883599999996"
1633,MNG SEYRANTEPE CARGO BRANCH,Diyarbakır,MNG Kargo,"Selahattin Eyyubi, 331. Sk. No:8C, 21080 Bağlar/Diyarbakır, Türkiye","37.9332357, 40.2040782"
1634,Mng Kargo Bağlar Şube,Diyarbakır,MNG Kargo,"Peyas, Urfa Yolu No:1, 21070 Bağlar/Kayapınar/Kayapınar/Diyarbakır, Türkiye","37.9329659, 40.1912579"
1635,Mng Kargo - Talaytepe Şubesi,Diyarbakır,MNG Kargo,"Mezopotamya, 306. Sk. No:2A, 21070 Kayapınar/Diyarbakır, Türkiye","37.940751, 40.1595531"
1636,Mng Kargo - Diyarbakır Transfer Merkezi,Diyarbakır,MNG Kargo,"Özdemir, Yeni Mardin Yolu Cd. Üzeri No:86, 21050 Bağlar/Diyarbakır, Türkiye","37.8704908, 40.218100299999996"
1637,Mng Kargo - Diyarbakır Bölge Müdürlüğü,Diyarbakır,MNG Kargo,"Özdemir Mh, Yeni Mardin Yolu Cd. No:86, 21050 Bağlar/Diyarbakır, Türkiye","37.8542305, 40.2220782"
1638,Mng Kargo - Diyarbakır Transfer Merkezi,Diyarbakır,MNG Kargo,"Özdemir Mh, Yeni Mardin Yolu Cd. No:86, 21050 Bağlar/Diyarbakır, Türkiye","37.8674957, 40.221987999999996"
1639,Mng Kargo - Melen Şubesi,Düzce,MNG Kargo,"Uzun Mustafa, Alparslan Türkeş Cd. No:3A, 81010 Düzce Merkez/Düzce, Türkiye","40.8455255, 31.150978900000002"
1640,MNG Kargo,Düzce,MNG Kargo,"Nusrettin, Ziya Gökalp Sk. No:4A, 81010 Düzce Merkez/Düzce, Türkiye","40.83788070000001, 31.1662087"
1641,Mng Kargo - Düzce Transfer Merkezi,Düzce,MNG Kargo,"Taşköprü, 2620. Sk No:1, 81060 Taşköprü/Düzce Merkez/Düzce, Türkiye","40.849744, 31.113619000000003"
1642,MNG Kargo - Konuralp Şubesi,Düzce,MNG Kargo,"Beyciler, 1707. Sk. No:4C, 81030 Düzce Merkez/Düzce, Türkiye","40.855664, 31.172174"
1643,Mng Kargo - Tunca Şubesi,Edirne,MNG Kargo,"Şükrüpaşa Mh. Şehit Polis Memuru Nefise Çetin Özsoy Sk. No:22A, Şükrüpaşa, 22100 Edirne Merkez/Edirne, Türkiye","41.664815499999996, 26.6022645"
1644,Mng Kargo - Kırkpınar Şubesi,Edirne,MNG Kargo,"Dilaverbey, Cumhuriyet Cd. No:23A, 22100 Edirne Merkez/Edirne, Türkiye","41.672391999999995, 26.5515781"
1645,MNG Kargo - Hazar Şubesi,Elazığ,MNG Kargo,"Üniversite, Karşıyaka Sk. No:38A, 23200 Elâzığ Merkez/Elazığ, Türkiye","38.681879699999996, 39.211431"
1646,MNG Kargo,Elazığ,MNG Kargo,"İzzet Paşa, Şht. İlhanlar Cd. No:20, 23200 Elâzığ Merkez/Elazığ, Türkiye","38.676787399999995, 39.221660799999995"
